,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Архангельская область (кроме Ненецкого автономного округа),Ненецкий автономный округ (Архангельская область),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область (без автономных округов),Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Республика Саха (Якутия),Забайкальский край,Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
2005-01-01,147.4,99.6,243.8,178.3,154.4,251.1,187.6,138.8,207.7,219.8,134.4,135.1,163.2,227.9,141.4,187.2,203.2,163.4,69.6,240.2,250.9,120.1,276.4,150.2,120.6,164.6,156.9,243.8,195.7,77.3,120.6,98.9,,111.6,137.1,156.6,102.5,,36.8,2.7,90.2,59.8,57.6,21.0,66.7,133.4,151.9,208.4,112.9,133.2,187.8,241.6,196.1,140.9,177.7,214.1,130.4,120.8,187.8,169.0,129.9,163.1,165.4,213.1,159.2,200.3,173.7,177.2,227.6,188.9,323.9,155.9,104.9,72.8,136.0,73.5,303.7,187.8,174.5,119.9,189.2,174.3,581.1,619.5,167.3,847.5
2006-01-01,135.3,93.2,231.8,161.5,172.4,204.9,161.5,130.8,209.0,207.1,118.7,126.0,145.0,204.3,136.0,183.7,171.6,143.8,66.9,239.2,208.4,115.2,321.6,131.2,109.9,144.7,141.3,225.6,178.3,72.9,126.7,92.7,,99.1,166.0,137.9,100.9,,37.7,2.9,85.8,69.8,66.4,25.1,58.8,130.4,144.5,176.4,108.4,117.9,178.7,241.7,148.6,124.5,167.6,234.0,133.3,114.3,169.5,173.5,107.3,166.5,165.2,175.6,157.9,240.6,95.5,168.2,202.4,173.5,222.5,143.4,102.2,79.4,132.2,68.6,292.9,161.5,184.4,129.6,166.4,159.0,536.9,506.2,193.5,552.4
2007-01-01,123.1,84.0,242.0,147.1,141.7,184.2,164.3,115.5,186.2,200.1,105.3,115.0,133.9,204.9,142.4,156.0,148.1,164.0,58.7,201.8,180.4,102.5,290.5,126.7,96.2,146.0,124.1,222.4,163.4,53.4,102.0,90.8,,105.1,130.3,113.6,82.7,,32.7,0.0,80.7,67.0,72.1,39.3,51.3,122.8,149.5,172.3,88.6,113.3,165.8,185.6,142.0,119.4,149.6,230.6,117.5,123.9,167.6,158.7,112.3,152.1,160.4,172.9,151.1,186.7,65.4,108.8,173.9,180.8,184.4,125.6,86.5,59.1,104.5,72.9,272.2,165.5,179.9,120.4,126.0,120.9,493.5,482.4,180.0,549.9
2008-01-01,122.2,92.3,225.8,145.0,156.1,181.9,165.5,107.8,204.9,184.1,109.7,109.8,127.1,192.9,142.2,149.3,169.3,144.1,55.7,185.3,219.2,89.8,304.6,123.7,101.0,127.9,131.1,206.3,181.5,51.1,132.8,111.3,,96.7,116.1,116.0,86.6,,31.9,0.6,81.6,81.9,78.8,40.0,55.6,113.4,143.2,166.6,77.8,116.2,167.0,178.9,148.8,111.5,147.9,228.8,118.9,118.2,161.1,153.3,122.0,149.8,159.5,158.9,143.4,132.6,99.4,122.0,199.8,165.2,185.9,116.8,94.7,100.5,101.0,103.5,286.8,149.3,169.2,111.8,133.8,113.3,528.0,329.7,253.9,527.1
2009-01-01,112.5,94.3,180.2,140.5,141.6,157.7,136.8,104.6,173.0,170.3,96.1,136.5,111.8,169.8,115.8,132.3,137.8,129.4,62.0,208.8,188.2,96.5,289.4,104.2,109.2,109.4,140.0,180.3,180.5,48.7,132.7,117.1,,90.3,134.5,102.6,79.8,,31.3,0.4,88.8,68.6,64.4,20.2,52.4,106.1,125.6,140.8,75.0,114.1,136.6,161.3,134.9,101.6,133.2,199.9,108.0,119.8,144.4,150.6,127.2,133.3,146.7,145.3,131.9,118.1,99.2,115.5,177.9,141.3,164.4,103.9,80.6,105.9,102.3,71.4,275.3,135.2,204.1,102.5,121.7,115.5,388.6,302.5,230.0,422.0
2010-01-01,108.5,86.4,180.6,135.0,130.9,167.6,128.5,113.8,132.9,137.4,88.8,143.9,117.6,156.1,111.2,116.9,120.0,123.9,61.9,200.7,172.7,99.5,245.9,103.3,92.7,120.4,112.8,136.0,164.0,47.7,129.1,96.1,,78.9,113.4,93.6,72.7,,31.8,0.4,82.9,85.0,63.6,14.2,56.3,104.1,121.9,138.3,74.7,119.8,127.0,152.7,121.8,93.2,144.5,172.7,111.9,108.4,162.1,138.2,117.8,129.7,137.5,168.2,122.4,93.5,111.3,133.0,164.0,152.8,185.4,98.6,72.0,81.8,108.6,57.5,293.1,135.2,187.3,117.4,140.0,140.5,343.6,338.3,250.8,615.3
2011-01-01,96.7,72.6,133.2,120.8,116.2,161.7,95.9,95.3,128.8,115.6,68.7,148.2,99.5,133.1,113.2,100.4,102.2,124.2,48.3,190.8,177.3,84.4,242.3,99.8,81.9,83.4,122.3,119.5,142.4,42.0,116.4,70.3,,67.2,91.7,88.0,63.5,,23.9,0.5,62.1,49.9,50.7,12.8,48.7,93.6,128.4,130.8,67.5,129.0,121.6,150.5,115.0,88.3,134.7,133.1,107.3,115.2,145.5,143.3,107.3,115.6,121.9,155.5,112.9,108.0,105.5,148.8,157.6,148.6,175.2,86.8,66.6,79.2,99.9,53.6,238.8,121.2,185.3,102.6,147.7,124.7,268.3,281.8,199.1,409.2
2012-01-01,85.8,74.8,134.4,88.8,111.7,128.7,99.9,96.4,110.0,102.8,64.9,134.4,79.6,126.0,87.8,100.1,81.9,102.7,51.1,150.1,112.2,73.2,271.0,86.2,76.8,71.4,103.6,120.0,133.3,38.8,110.5,60.3,,52.0,84.7,73.6,56.2,,28.8,0.7,63.9,34.3,52.6,9.8,42.5,88.5,115.5,115.5,70.9,110.1,114.1,134.5,93.1,79.9,122.7,134.2,93.2,103.8,130.5,121.1,99.4,89.4,91.7,127.9,104.2,102.7,87.0,84.0,138.9,126.7,158.6,71.5,52.9,71.3,59.3,52.1,235.8,101.0,138.4,86.7,124.9,104.8,236.9,246.1,119.8,409.9
2013-01-01,78.3,66.9,130.2,94.1,113.8,111.7,87.6,96.4,105.6,81.7,56.4,111.6,88.1,97.9,87.1,89.2,73.7,89.5,46.2,127.5,103.7,77.6,212.7,70.9,72.1,55.5,85.3,100.3,117.0,32.6,82.8,52.8,,45.6,61.8,67.9,50.3,,23.1,1.6,81.0,33.9,51.1,13.1,38.1,88.7,118.5,103.4,63.2,109.0,113.8,125.9,78.9,75.8,119.1,117.0,82.8,86.4,128.4,113.7,94.9,65.6,81.4,123.7,106.9,91.8,46.7,101.7,105.0,124.5,138.5,70.4,52.5,64.5,53.6,58.3,177.2,97.5,136.3,76.3,103.4,100.0,223.2,216.3,112.9,303.3
2014-01-01,74.6,56.8,120.6,87.7,109.9,112.8,77.1,102.8,106.0,86.1,53.5,103.8,80.8,115.1,73.5,76.4,85.3,87.8,41.6,143.7,107.4,72.02499999999999,209.8,65.6,78.0,43.9,80.3,108.8,110.1,30.5,77.475,47.375,,39.65,52.9,65.625,45.4,,21.35,1.2000000000000002,74.275,33.3,48.925,10.575,34.7,77.1,124.2,84.8,67.3,102.5,110.7,128.7,83.0,71.4,128.3,139.4,72.4,78.7,133.3,93.0,84.5,65.0,80.3,117.0,94.8,73.5,63.7,107.7,111.9,109.3,126.8,61.1,43.8,63.1,46.4,59.6,177.0,96.4,118.2,79.7,111.3,96.7,199.9,159.5,124.7,375.9
2015-01-01,70.9,50.7,102.5,81.7,109.1,105.4,80.8,82.7,101.4,89.1,53.7,97.9,72.2,90.6,64.3,69.4,86.1,90.0,34.9,134.2,93.2,66.44999999999999,145.3,70.1,83.9,42.1,97.5,92.6,99.4,22.0,72.15,41.95,,33.7,44.0,63.35,40.5,,19.6,0.8,67.55,32.7,46.75,8.05,31.3,78.5,93.8,84.4,60.5,104.3,107.3,119.4,70.3,72.3,121.8,122.0,63.0,75.0,115.6,101.9,80.6,64.4,77.7,125.9,91.6,68.3,25.5,92.4,115.7,102.8,115.4,57.4,43.4,46.1,55.8,49.5,163.9,96.6,92.4,80.3,132.0,97.2,191.8,156.6,125.3,488.7
2016-01-01,64.9,46.1,107.9,75.7,97.1,88.6,68.2,78.3,89.8,80.1,47.5,101.2,64.5,86.8,50.6,53.7,74.3,77.2,24.9,123.8,105.7,60.875,98.1,64.3,83.6,41.6,74.1,95.3,106.3,22.1,66.825,36.525,,27.75,35.1,61.075,35.599999999999994,,17.85,0.3999999999999999,60.825,32.1,44.575,5.525,27.9,70.4,85.0,78.6,54.4,79.3,91.6,136.9,65.4,65.1,105.4,122.8,52.3,71.9,107.8,98.2,65.7,63.8,75.5,113.1,85.3,67.4,84.9,89.8,100.1,102.6,104.8,54.5,33.0,37.7,55.8,52.0,180.9,110.7,75.0,78.6,146.5,92.3,161.9,141.4,137.9,331.0
2017-01-01,53.2,45.2,92.2,65.3,76.2,79.4,53.8,67.8,52.2,75.7,42.2,94.3,58.7,66.8,43.4,43.4,64.3,67.3,19.4,89.3,92.8,55.3,120.5,50.6,82.7,34.8,66.0,81.1,93.2,16.6,61.5,31.1,53.3,21.8,26.2,58.8,30.7,74.6,16.1,0.0,54.1,31.5,42.4,3.0,24.5,61.9,76.2,70.8,52.4,54.8,76.4,102.6,47.8,48.0,99.5,110.4,46.3,54.6,98.3,84.3,54.8,63.2,50.2,91.9,67.7,70.8,65.3,77.6,85.9,78.6,85.3,44.3,29.6,29.1,40.9,40.8,138.9,73.1,62.5,75.0,128.5,91.4,168.5,113.1,118.9,254.1
2018-01-01,51.6,41.3,82.2,66.5,73.4,78.5,58.1,61.1,51.3,68.6,37.7,90.3,51.1,72.4,45.0,41.0,69.0,45.3,23.1,78.1,107.5,64.7,181.8,50.1,79.1,35.3,48.3,55.2,85.9,14.7,52.5,58.1,57.6,18.3,22.2,55.6,29.6,90.0,13.6,0.2,51.6,21.7,46.3,4.1,23.6,56.4,73.7,64.1,48.9,56.4,79.0,95.3,56.4,44.4,93.6,129.8,49.4,48.6,102.6,77.8,50.2,61.2,33.7,94.7,69.6,71.1,88.9,79.1,88.1,69.1,81.7,39.7,33.8,29.9,44.2,48.9,129.0,77.7,63.1,64.1,128.5,113.3,127.0,106.1,87.0,208.7
